step,score
13263,-130.78479367302717
38310,-62.67549866133712
87266,6.653684650796358
137923,25.919197602386344
189123,56.8970227314723
239685,65.46730356406337
290859,83.3562227888934
342059,84.72694772028684
393175,84.56568100236971
443463,87.50643385563576
493761,93.70885529088895
544961,98.08088311004113
596161,96.20970556378954
647361,95.15851440250543
698561,99.95618972962517
749761,101.35760695033191
800961,99.07370182175353
852161,97.21112771134256
903361,96.9916143786581
954557,94.15248328676081
1005757,90.16665405267251
